,price,manufacturer,graphics_copressor,ram,num_processors,touchable,ips,ppi,cpu_name,memory,os
190,2428.0,Acer,NVIDIA,16,8,0,1,174.50138510162503,AMD Ryzen 7,2048,Windows
191,1829.0,Samsung,NVIDIA,24,6,0,0,141.21199808219862,Intel Core i7,2048,Windows
192,2496.0,Acer,NVIDIA,24,8,0,1,174.50138510162503,AMD Ryzen 7,2048,Windows
193,2536.0,Dell,NVIDIA,32,24,0,0,141.21199808219862,Intel Core i9,2048,Windows
194,2009.0,Acer,NVIDIA,32,14,0,0,161.72539083525606,Intel Core i7,2048,Windows
195,2509.0,Dell,NVIDIA,32,14,0,1,145.1381712624093,Intel Core i7,2048,Windows
196,1875.0,Acer,NVIDIA,32,10,0,1,141.50971698084905,Intel Core i7,2048,Windows
197,1942.0,Acer,NVIDIA,32,10,0,1,141.50971698084905,Intel Core i7,2048,Windows
198,2226.0,Acer,NVIDIA,32,14,0,0,141.50971698084905,Intel Core i7,2048,Windows
199,2293.0,Acer,NVIDIA,32,14,0,0,141.50971698084905,Intel Core i7,2048,Windows
200,2049.0,Dell,NVIDIA,32,14,0,0,188.67962264113208,Intel Core i7,2048,Windows
202,1629.0,Acer,NVIDIA,32,12,0,0,127.33567457123111,Intel Core i5,2048,Windows
203,1949.0,Acer,NVIDIA,32,8,0,0,188.28266410959816,AMD Ryzen 7,2048,Windows
204,2158.0,Acer,NVIDIA,32,8,0,1,127.33567457123111,AMD Ryzen 7,2048,Windows
205,2226.0,Acer,NVIDIA,32,8,0,1,127.33567457123111,AMD Ryzen 7,2048,Windows
206,2563.0,Acer,NVIDIA,32,8,0,1,174.50138510162503,AMD Ryzen 7,2048,Windows
208,1348.0,Acer,NVIDIA,32,6,0,1,141.21199808219862,AMD Ryzen 5,2048,Windows
209,1497.0,Acer,NVIDIA,32,6,0,0,141.21199808219862,AMD Ryzen 5,2048,Windows
210,2739.0,Dell,NVIDIA,48,24,0,0,141.21199808219862,Intel Core i9,2048,Windows
211,2631.0,Acer,NVIDIA,48,8,0,1,174.50138510162503,AMD Ryzen 7,2048,Windows
212,2169.0,Acer,NVIDIA,64,14,0,0,161.72539083525606,Intel Core i7,2048,Windows
213,2496.0,Acer,NVIDIA,64,14,0,0,141.50971698084905,Intel Core i7,2048,Windows
214,2099.0,Dell,NVIDIA,64,14,0,0,188.67962264113208,Intel Core i7,2048,Windows
215,4831.0,Dell,NVIDIA,64,14,1,0,266.3712319639512,Intel Core i7,2048,Windows
216,1729.0,Acer,NVIDIA,64,12,0,0,127.33567457123111,Intel Core i5,2048,Windows
217,2099.0,Acer,NVIDIA,64,8,0,0,188.28266410959816,AMD Ryzen 7,2048,Windows
218,2428.0,Acer,NVIDIA,64,8,0,1,127.33567457123111,AMD Ryzen 7,2048,Windows
219,2496.0,Acer,NVIDIA,64,8,0,1,127.33567457123111,AMD Ryzen 7,2048,Windows
220,2766.0,Acer,NVIDIA,64,8,0,1,174.50138510162503,AMD Ryzen 7,2048,Windows
221,2833.0,Acer,NVIDIA,64,8,0,1,174.50138510162503,AMD Ryzen 7,2048,Windows
222,1299.0,HP,NVIDIA,64,6,0,0,141.21199808219862,AMD Ryzen 5,2048,Windows
223,1699.0,Acer,NVIDIA,16,1,0,1,141.21199808219862,Intel Core i7,1024,Windows
224,1137.0,Acer,NVIDIA,16,1,0,1,141.21199808219862,Intel Core i7,1024,Windows
225,2849.0,Asus,NVIDIA,16,24,0,1,137.68169813014364,Intel Core i9,1024,Windows
226,1899.0,Asus,NVIDIA,16,14,0,0,141.21199808219862,Intel Core i7,1024,Windows
227,1499.0,Asus,NVIDIA,16,6,0,0,127.33567457123111,Intel Core i5,1024,Windows
228,1599.0,Asus,NVIDIA,16,8,1,0,168.96682624578992,AMD Ryzen 9,1024,Windows
229,2999.0,Asus,NVIDIA,16,12,0,0,169.78089942830815,AMD Ryzen 9,1024,Windows
230,3148.0,Asus,NVIDIA,16,8,0,0,157.3505121487356,AMD Ryzen 9,1024,Windows
231,1499.0,Asus,NVIDIA,16,8,1,0,168.96682624578992,AMD Ryzen 7,1024,Windows
232,1499.0,Asus,NVIDIA,16,8,1,0,164.39605746882822,AMD Ryzen 7,1024,Windows
233,1749.0,Asus,NVIDIA,16,8,0,0,188.28266410959816,AMD Ryzen 7,1024,Windows
234,3299.0,Asus,NVIDIA,32,14,0,0,235.8495283014151,Intel Core i9,1024,Windows
235,2172.0,Asus,NVIDIA,32,14,0,1,141.50971698084905,Intel Core i9,1024,Windows
236,2334.0,Asus,NVIDIA,32,14,0,0,141.50971698084905,Intel Core i9,1024,Windows
237,2023.0,Asus,NVIDIA,32,14,0,0,141.21199808219862,Intel Core i7,1024,Windows
238,1740.0,Asus,NVIDIA,32,10,0,0,141.21199808219862,Intel Core i7,1024,Windows
239,1849.0,Asus,NVIDIA,32,10,0,0,188.28266410959816,Intel Core i7,1024,Windows
240,2239.0,Asus,NVIDIA,32,14,0,1,141.50971698084905,Intel Core i7,1024,Windows
241,1549.0,Asus,NVIDIA,32,6,0,0,127.33567457123111,Intel Core i5,1024,Windows
242,4507.0,Asus,NVIDIA,32,16,0,0,188.67962264113208,AMD Ryzen 9,1024,Windows
243,1799.0,Asus,NVIDIA,32,8,0,0,188.28266410959816,AMD Ryzen 7,1024,Windows
244,2099.0,Asus,NVIDIA,32,8,0,0,127.33567457123111,AMD Ryzen 7,1024,Windows
245,1943.0,Asus,NVIDIA,40,10,0,0,141.21199808219862,Intel Core i7,1024,Windows
246,2388.0,Asus,NVIDIA,48,14,0,0,141.50971698084905,Intel Core i9,1024,Windows
247,2299.0,Acer,NVIDIA,16,1,0,1,141.21199808219862,Intel Core i7,1024,Windows
248,2240.0,Acer,NVIDIA,16,1,0,1,141.21199808219862,Intel Core i7,1024,Windows
249,2499.0,Acer,NVIDIA,16,14,0,1,215.6338544470081,Intel Core i9,1024,Windows
250,2299.0,Dell,NVIDIA,16,24,0,0,183.5755975068582,Intel Core i9,1024,Windows
251,1551.0,Acer,NVIDIA,16,8,0,0,141.21199808219862,Intel Core i7,1024,Windows
252,3211.0,Dell,NVIDIA,16,14,0,0,145.1381712624093,Intel Core i7,1024,Windows
253,2145.0,Dell,NVIDIA,16,14,0,1,145.1381712624093,Intel Core i7,1024,Windows
254,1569.0,Samsung,NVIDIA,16,6,0,0,141.21199808219862,Intel Core i7,1024,Windows
